,Name,Symbol,Weight,Price,Change,Percent
88,Advanced Micro Devices Inc.,AMD,0.2405,   55.09,0.05,(0.09%)
89,Colgate-Palmolive Company,CL,0.240413,   75.20,0.00,(0.00%)
90,American Express Company,AXP,0.239291,   95.00,-0.18,(-0.19%)
91,Regeneron Pharmaceuticals Inc.,REGN,0.238078,   638.00,-6.06,(-0.94%)
92,Equinix Inc.,EQIX,0.237882,   724.23,0.00,(0.00%)
93,Morgan Stanley,MS,0.237248,   52.55,0.14,(0.27%)
94,Air Products and Chemicals Inc.,APD,0.237175,   294.25,0.25,(0.09%)
95,Automatic Data Processing Inc.,ADP,0.236798,   148.23,0.63,(0.43%)
96,Chubb Limited,CB,0.230795,   135.95,0.00,(0.00%)
97,General Electric Company,GE,0.230351,   7.08,0.01,(0.14%)
98,Activision Blizzard Inc.,ATVI,0.230166,   79.24,0.60,(0.76%)
99,Target Corporation,TGT,0.229429,   121.60,-0.07,(-0.06%)
100,Stryker Corporation,SYK,0.224758,   191.12,-1.93,(-1.00%)
101,CME Group Inc. Class A,CME,0.224296,   166.62,0.00,(0.00%)
102,Duke Energy Corporation,DUK,0.224222,   82.45,0.05,(0.06%)
103,T-Mobile US Inc.,TMUS,0.223665,   106.20,0.85,(0.81%)
104,Applied Materials Inc.,AMAT,0.215545,   62.67,0.37,(0.59%)
105,Marsh & McLennan Companies Inc.,MMC,0.214752,   113.69,0.00,(0.00%)
106,Southern Company,SO,0.213581,   54.78,0.20,(0.37%)
107,Fiserv Inc.,FISV,0.210347,   103.02,0.42,(0.41%)
108,Micron Technology Inc.,MU,0.209716,   49.50,0.03,(0.06%)
109,Illumina Inc.,ILMN,0.206721,   383.70,0.06,(0.02%)
110,CSX Corporation,CSX,0.204752,   72.50,0.34,(0.47%)
111,Deere & Company,DE,0.204277,   176.78,0.27,(0.15%)
112,Illinois Tool Works Inc.,ITW,0.196509,   182.08,0.00,(0.00%)
113,Humana Inc.,HUM,0.196128,   408.00,3.51,(0.87%)
114,Boston Scientific Corporation,BSX,0.195568,   37.70,-0.01,(-0.03%)
115,Ecolab Inc.,ECL,0.193806,   210.36,0.00,(0.00%)
116,U.S. Bancorp,USB,0.193772,   36.05,0.02,(0.06%)
117,Autodesk Inc.,ADSK,0.192591,   237.75,0.05,(0.02%)
118,Progressive Corporation,PGR,0.1908,   87.63,0.00,(0.00%)
